Title,Authors,volumeInfo.description,volumeInfo.pageCount,volumeInfo.categories,volumeInfo.averageRating,volumeInfo.ratingsCount,volumeInfo.imageLinks.thumbnail,volumeInfo.previewLink,volumeInfo.subtitle,BuyLink
Magic Unbound,['Jill Nojack'],"Not-quite-sixteen year old Lizbet Moore expects a boring last month of summer vacation--and she gets what she’s expecting until a fifteen hundred year old Fae named Eamon shows up in her backyard disguised as a down-on-his-luck garden gnome. When Eamon slips an ancient amulet around her neck, the memories of Lizbet’s many past lives, including her first life as Morgan Le Fae, come slamming back to her to change her summer plans in a way she could never have expected. Forced to go on the run when murderous monks show up at the back door, Lizbet hops a plane to Scotland accompanied by Eamon, the whispering voices of her past lives, and geekily cute James, the college boy from next door. Not only does she have to dodge the monks, but she’s racing against time and greedy land developers to prevent the entire race of the Fae from being destroyed. The only thing Lizbet knows for sure is that if she fails and can't produce a few live fairies at the end of her journey, she is going to be grounded for life...and probably for her next life, too. Keywords: Free Young Adult Books, Free Fantasy Books, Fae books, Fantasy series, Fae series, Magic books, Free Teen books, Free Teen series, Tween, Young Adult, Faeries, Fairy Tale, Fairy books, Fantasy, free books, free books for teens, fantasy books free, fantasy books for free, gnomes.",202.0,['Fiction'],,,http://books.google.com/books/content?id=sUbOAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=sUbOAwAAQBAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=26&source=gbs_api,Book One in the Fae Unbound Series,https://play.google.com/store/books/details?id=sUbOAwAAQBAJ&rdid=book-sUbOAwAAQBAJ&rdot=1&source=gbs_api
"Piety (dragon poems, poetry)",['Jess C. Scott'],"SUMMARY: A 1000-word dragon-themed mini poetry collection by author/artist/non-conformist, Jess C Scott. ""Piety"" is the prototype for Jess's London Underground Trilogy (forthcoming dragon-themed urban fantasy series; 2012). GENRE: Poetry | 1,000 words * * *",,['Fiction'],,,http://books.google.com/books/content?id=yzf5Y-hUZ-sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=yzf5Y-hUZ-sC&pg=PP1&dq=Fantasy&hl=&as_brr=1&cd=30&source=gbs_api,,https://play.google.com/store/books/details?id=yzf5Y-hUZ-sC&rdid=book-yzf5Y-hUZ-sC&rdot=1&source=gbs_api
Sword of the Gods: The Chosen One,['Anna Erishkigal'],"Two old gods play chess to decide the fate of the galaxy. A hapless pawn is cast down upon the Earth. Mikha'il awakens, mortally wounded, on his crashed ship. He's saved by a young woman with unusual abilities. With no memory of his past and his ship destroyed, he has no choice but to integrate into her village. In stone-aged Mesopotamia, everyone must work or starve, but the only skill he possesses is an uncanny ability to kill.Ninsianna's people have prophecies of a time when a winged champion, a Sword of the Gods, will defend their people against an Evil One. Mikha'il insists he's no demi-god, but the dark premonitions sent to her by She-who-is say otherwise! Unbeknownst to them, Earth is about to become ground zero in a war between two ancient adversaries. The Emperors' armies are a dying race ... and humans hold the key to their survival.As love blossoms, the mysterious kidnappings of young women forces Mikha'il to choose between Ninsianna and his duty to complete a mission he can't quite recall. As fault lines open in the heavens, Mikha'il must teach his adopted people to raise armies from the dust to fight back against an enemy who remains unseen.",880.0,['Fiction'],4.5,2.0,http://books.google.com/books/content?id=uSorXtyfYrcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=uSorXtyfYrcC&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=31&source=gbs_api,(Book 1 of the Sword of the Gods saga),https://play.google.com/store/books/details?id=uSorXtyfYrcC&rdid=book-uSorXtyfYrcC&rdot=1&source=gbs_api
The Water of the Wondrous Isles,['William Morris'],"One of Morris' famous fantasy novels, €The Water of the Wondrous Isles was published by his Kelmscott Press in 1897, one year after the author's death. The novel tells the story of Birdalone, a young girl who is captured and raised as a slave to a witch in the fantasy realm of Evilshaw. The protagonist manages to escape in the witch's magical boat and sails around the mystical world.",576.0,['Fiction in English'],4.0,2.0,http://books.google.com/books/content?id=ke4kAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=ke4kAAAAMAAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=32&source=gbs_api,,https://play.google.com/store/books/details?id=ke4kAAAAMAAJ&rdid=book-ke4kAAAAMAAJ&rdot=1&source=gbs_api
Uncharted,"['Kevin J. Anderson', 'Sarah A. Hoyt']","New Alternate History Fantasy series created by New York Times best-selling author Kevin J. Anderson and Sarah A. Hoyt. Arcane America A new world. New magic. New history. After Halley’s Comet was destroyed in a magical battle in 1759, the backlash separated the entire New World from the Old in an event known as The Sundering. Now isolated from the rest of the globe, America has become a very different place, where magic works and history has been changed forever. It is 1803—a new 1803. Young Meriwether Lewis, footloose and intrigued, goes to hear a lecture in St. Louis by the venerated old wizard Benjamin Franklin. Franklin’s talk is disrupted by the attack of a winged fire-breathing beast, much like legends from Lewis’s own Welsh heritage. In the aftermath, Franklin tells the young man that he knows of a great, growing evil that lurks in the uncharted Arcane Territories west of the Mississippi. Using his own vast fortune, Franklin commissions Lewis and his own talented partner William Clark to embark on a remarkable voyage of exploration, to meet and document the indigenous tribes, to find a route all the way to the Pacific Ocean—and perhaps beyond the magical veil to Europe again—and to stop the growing evil that is filling the American West. For while the Sundering separated the rest of the world and granted the original colonists unexpected magical gifts, sorcery inspired by native legends has also been ignited. And the Arcane Territories may hold unparalleled dangers for the expedition, both natural and magical. Accompanied by the brilliant shape-shifting sorceress Sacajawea, Lewis and Clark set off on an unparalleled adventure across a landscape that no European has ever seen. At the publisher's request, this title is sold without DRM (Digital Rights Management). About Kevin J. Anderson: ""Anderson delivers action, engaging characters and credible fantastic worlds in spades . . . not to be missed.""—Publishers Weekly ""Wickedly funny, deviously twisted and enormously satisfying.""—Jonathan Maberry ""Anderson has become the literary equivalent of Quentin Tarantino in the fantasy adventure genre.""—The Daily Rotation ""Prepare to be entertained."" —Charlaine Harris “Delivers solid action and will certainly satisfy.”—Booklist on The Winds of Dune About Sarah A. Hoyt: “[Three Musketeers creator] Alexandre Dumas would give [Sarah A. Hoyt] a thumbs up.” —Steve Forbes “[F]anciful and charming.” —Library Journal ""First-rate space opera with a moral lesson. You won't be disappointed.""—Glenn Reynolds, Instapundit.com “[A] tour de force: logical, built from assumptions with no contradictions . . . gripping.” —Jerry Pournelle “Exceptional, wonderful, and enormously entertaining.” —Booklist",272.0,['Fiction'],3.0,1.0,http://books.google.com/books/content?id=C75VDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=C75VDwAAQBAJ&pg=PP1&dq=Fantasy&hl=&as_brr=1&cd=33&source=gbs_api,,https://play.google.com/store/books/details?id=C75VDwAAQBAJ&rdid=book-C75VDwAAQBAJ&rdot=1&source=gbs_api
Resources in Education,Unknown,Serves as an index to Eric reports [microform].,564.0,['Education'],,,http://books.google.com/books/content?id=vWxRAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=vWxRAQAAMAAJ&pg=RA1-PA51&dq=Fantasy&hl=&as_brr=1&cd=41&source=gbs_api,,https://play.google.com/store/books/details?id=vWxRAQAAMAAJ&rdid=book-vWxRAQAAMAAJ&rdot=1&source=gbs_api
The Birth of Vengeance (Free Vampire Book Sample Chapters 1-8),['P.A. Ross'],"For Jon Harper, adolescence has been a revolving door of bullying, torment, and isolation. Sick of constantly looking over his shoulder, Jon vows vengeance on those who have wronged him. Enter Thorn: a dark angel of destiny or Jon’s undoing? It is only with the help of this sultry new companion does Jon obtain the ability to wreak vengeance on his tormentors through the power of the vampire formula, a genetic altering drug. With the vampire formula, the user has the ability to temporarily transform into a vampire, complete with the awesome powers afforded to the dark immortals. Jon must only choose his path: redemption or forgiveness? For a young man in the throes of young love and awakened passions, revenge is a dish best served in the dead of night. In this all-new dark fantasy series Vampire Formula from P.A. Ross, imagine the world of vampires and forbidden love turned upside down. Will darkness and passion get the better of Jon Harper? Will the power of the night change him forever? Find out in this first installment in the series, The Birth of Vengeance! Sink you teeth into a copy now . “The Birth of Vengeance (Vampire Formula #1)” is the first novel in a series of new vampire books. There is a free prequel story to download, which is set a couple of years beforehand. ""I Want Vengeance: Vampire Formula #0"" keywords: vampire books for teens , vampire series , supernatural , paranormal , coming of age fantasy , genetic engineering , science fiction , mashups , bad girlfriend , bullied , vampire vengeance , horror , young adult , men's vampire book , strong female vampire , vampire books , strong female characters , department 19 , will hill, cirque du freak , darren shan, vampire hunter, action",38.0,['Fiction'],,,http://books.google.com/books/content?id=oS3FCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=oS3FCQAAQBAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=42&source=gbs_api,Vampire Formula #1,No link available
The Sundering Flood,['William Morris'],The eighth in a series of fantasy novels that influenced J.R.R. Tolkien.,398.0,['English fiction'],3.0,3.0,http://books.google.com/books/content?id=7WcnAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=7WcnAAAAMAAJ&pg=PP1&dq=Fantasy&hl=&as_brr=1&cd=44&source=gbs_api,,https://play.google.com/store/books/details?id=7WcnAAAAMAAJ&rdid=book-7WcnAAAAMAAJ&rdot=1&source=gbs_api
New York Magazine,Unknown,"New York magazine was born in 1968 after a run as an insert of the New York Herald Tribune and quickly made a place for itself as the trusted resource for readers across the country. With award-winning writing and photography covering everything from politics and food to theater and fashion, the magazine's consistent mission has been to reflect back to its audience the energy and excitement of the city itself, while celebrating New York as both a place and an idea.",124.0,,,,http://books.google.com/books/content?id=TecCAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=TecCAAAAMBAJ&pg=PA78&dq=Fantasy&hl=&as_brr=1&cd=46&source=gbs_api,,No link available
Fantasy Novels: Invitations to Hell,"['Creation Liberty Evangelism', 'Christopher J.E. Johnson']",Fantasy novels & movies are not just harmless entertainment.,,['Education'],,,http://books.google.com/books/content?id=TdeNBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=TdeNBAAAQBAJ&pg=PP1&dq=Fantasy&hl=&as_brr=1&cd=50&source=gbs_api,,https://play.google.com/store/books/details?id=TdeNBAAAQBAJ&rdid=book-TdeNBAAAQBAJ&rdot=1&source=gbs_api
A Hero's Worth,['Debbie Ouellet'],"Jacob and Orson rush to the rescue when Lia is taken prison by her own father who has promised her hand in marriage to Lord Manning, and the pair of unlikely heroes find themselves in battle against Manning and his evil wizard Kain.",121.0,['Imaginary wars and battles'],,,http://books.google.com/books/content?id=U00MGxBcMXQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=U00MGxBcMXQC&pg=PP1&dq=Fantasy&hl=&as_brr=1&cd=55&source=gbs_api,,No link available
The Perceptionalist,['Edward John Hamilton'],"""The general system of doctrine in the service of which both ""The Human Mind"" and ""Mental Science"" have been composed, might be styled Perceptionalism. For some such term may properly designate a form of philosophy which maintains, from an analytical and theoretical point of view, that mankind are not deluded in claiming that they perceive fact and truth, and that what they call their perceptions are true perceptions of those very things which they say that they perceive. The word ""perception"" is sometimes limited in its application: we now use it in its most unrestricted meaning. For we have perceptions of simple fact and perceptions of necessary relations; presentational perceptions and inferential perceptions; the perceptions of sense and of consciousness, and perceptions concomitant of these; the perceptions of the intuitive, and those of the discursive, reason: we perceive what is true actualistically and what is true hypothetically; we perceive the possible and the necessary, and the contingent and the probable. Our doctrine is that all these perceptions, when made by a sound mind and under proper conditions, are trustworthy; and our philosophy finds justification for this doctrine in the critical investigation of every mode of human cognition or conviction. Perceptionalism does not assert that the mind of man is infallible. On the contrary, recognizing the frequent recurrence of error, it seeks to understand the sources and laws of mistaken belief as well as those of correct belief. But it emphasizes the truth that man is capable of knowledge, or well-grounded certainty, about many things; and that where this is not attainable, he may often wisely form a judgment of probability""--Preface. (PsycINFO Database Record (c) 2010 APA, all rights reserved).",468.0,['Perception'],,,http://books.google.com/books/content?id=hCg9AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=hCg9AAAAYAAJ&pg=PA349&dq=Fantasy&hl=&as_brr=1&cd=69&source=gbs_api,"Or, Mental Science, a University Text-book",https://play.google.com/store/books/details?id=hCg9AAAAYAAJ&rdid=book-hCg9AAAAYAAJ&rdot=1&source=gbs_api
2017 - DEBBIES BOOK(R) 29th Edition EBOOK,['Debbie Hemela'],"2017 Debbies Book® 29th Edition Full Database eBook 5 ways to experience Debbies Book®! • Physical book for users who want to hold it in their hands • Printable book for users who want to print certain pages • Tablet-friendly eBook for users who love their iPads and eReaders • Mobile App for iOS & Android Devices • Blog featuring how-tos, vendors and news The book is organized by categories in alphabetical order. Listings for Prop Houses and Costume Rental Houses are shortened to one or two lines to save space. Their full contact information is located within the Prop House and Costume Rental Houses categories only.",2285.0,['Reference'],,,http://books.google.com/books/content?id=fa3rDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=fa3rDQAAQBAJ&pg=PA700&dq=Fantasy&hl=&as_brr=1&cd=74&source=gbs_api,"Directory of Props & Services for Film, Television, Theatre, Advertising and Special Events",No link available
Mental Science,['Edward John Hamilton'],"""""Mental Science,"" therefore, is now offered as an educational manual, and as a compend for the reading of those who would inform themselves respecting the doctrines of an earnest philosophy without entering upon non-essential details. The majority of the discussions have been not merely abridged, but simplified; a considerable number have been entirely re-written. Some chapters, too, which are devoted to logical questions, and which may prove serviceable in connection with some future effort, have been omitted. It has, however, been the aim to present a true theory of every normal activity of the intellect""--Preface",706.0,['Psychology'],,,http://books.google.com/books/content?id=6ZKl6UF62M8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=6ZKl6UF62M8C&pg=PA348&dq=Fantasy&hl=&as_brr=1&cd=76&source=gbs_api,A Text-book for Schools and Colleges,https://play.google.com/store/books/details?id=6ZKl6UF62M8C&rdid=book-6ZKl6UF62M8C&rdot=1&source=gbs_api
